architecture,seed,fold,n_train,n_val,mse,r2,train_mse,gap,epochs_run,best_epoch,early_stopped,mse_HC,mse_NOx,mse_CO2,mse_PM,mse_eta
A4,1,1,27,7,0.005084313501491091,0.7949936145447316,0.012844685417124677,-0.007760371915633586,300,300,false,0.0037971735817199878,0.00421337255371046,0.001046687470234577,0.012532648093958943,0.003831685807831484
A4,1,2,27,7,0.03162490558904862,-0.9555139019239256,0.034297061212852864,-0.002672155623804247,134,104,true,0.04513523398845741,0.02723014961493158,0.04457233908231455,0.03193663022896116,0.009250175030578362
A4,1,3,27,7,0.015620171598720511,0.40381547032104814,0.02366807085888794,-0.008047899260167428,156,126,true,0.0036823940037214145,0.03450069014820465,0.016181089567581197,0.012225626257646586,0.011511058016448698
A4,1,4,28,6,0.1945360210194701,-0.12735819629534184,0.0070092583550669454,0.18752676266440316,300,300,false,0.07182536361446218,0.03655309727965965,0.08270472707394251,0.7329789997631235,0.048617917366162694
A4,2,0,27,7,0.015065936230934688,0.8007737302160638,0.013375983304262259,0.0016899529266724295,300,300,false,0.006534552005792887,0.029038970496676954,0.00762183397167113,0.01756224066154525,0.014572084018987226
A4,2,1,27,7,0.021288932603055102,0.7174981813446049,0.010439824094044866,0.010849108509010236,300,300,false,0.05099755221423944,0.005015363491805097,0.006705455978419164,0.003542797238222832,0.040183494092588964
A4,2,2,27,7,0.01202390944387645,0.6355879033213825,0.01658562055638313,-0.004561711112506679,207,177,true,0.009507924120186667,0.004956376550334811,0.016395059175107855,0.009403206864660809,0.01985698050909212
A4,2,3,27,7,0.042941268954800306,-0.034498312281498134,0.04309401559440218,-0.00015274663960187368,112,82,true,0.03170410896629599,0.0829553991833192,0.0676168243844345,0.02099573473051194,0.011434277509439905
A4,2,4,28,6,0.04987801251088148,0.6127527097161494,0.008145005612788877,0.0417330068980926,300,300,false,0.02862043658950898,0.01377189197434951,0.010238160090472322,0.1714166184299055,0.0253429554701711
A5,0,0,27,7,0.01300451551569578,0.6921588392539637,0.009447629129144795,0.003556886386550986,300,300,false,0.009487473752590863,0.006920690996618831,0.006405134377569308,0.030164924007755087,0.012044354443944806
A5,0,1,27,7,0.04343214007409951,0.6316404679197425,0.0071472143066891695,0.03628492576741034,300,300,false,0.026174094232466562,0.02473617429098331,0.015372272511447871,0.11657169009904515,0.03430646923655466
A5,0,2,27,7,0.05427051709270703,-4.495236464389858,0.037634359662157855,0.01663615743054917,61,31,true,0.017797672595027448,0.011605452531968848,0.17071044871927993,0.03279925078981837,0.03843976082744057
A5,0,3,27,7,0.023348149432102318,0.6997589347190107,0.01129015872828449,0.012057990703817828,201,171,true,0.04954571667524509,0.0035644131507306556,0.001670693080580915,0.007057002394210794,0.05490292185974414
A5,0,4,28,6,0.012749608176433915,0.8490414646226652,0.011091816845696255,0.00165779133073766,300,300,false,0.008697702126820228,0.01035233888436063,0.0065023874799959025,0.018866669489481427,0.0193289429015114
A5,1,0,27,7,0.018899632560163505,0.7000695785377702,0.008821412439034101,0.010078220121129404,300,300,false,0.04080102348908234,0.0029127021156688834,0.008194299116821265,0.012036217614468788,0.030553920464776233
A5,1,1,27,7,0.0040103299321825785,0.8382980822015185,0.010560551561084663,-0.006550221628902084,300,300,false,0.0033245707067886057,0.003784312927074016,0.0011921085300809317,0.007154120417052791,0.004596537079916544
A5,1,2,27,7,0.021065752235162844,-0.30259270606680166,0.043142807738242875,-0.02207705550308003,69,39,true,0.022792020346084824,0.017910163871802352,0.01849377500878204,0.03907030475084138,0.007062497198303634
A5,1,3,27,7,0.03796589202785523,-0.4490671462484319,0.037665902407792974,0.000299989620062259,50,20,true,0.007278808413383427,0.09854989237808821,0.04421673369015399,0.02533559545213456,0.014448430205516002
A5,1,4,28,6,0.15498374645327853,0.10185169851307041,0.03677068187168618,0.11821306458159235,40,10,true,0.02753079440712684,0.05476393931094331,0.05895951285944947,0.502964975800341,0.13069950988853216
A5,2,0,27,7,0.011993101852018066,0.84140773540443,0.012504095727702766,-0.0005109938756846996,154,124,true,0.0066711966416844095,0.013241566448473522,0.003253781663235919,0.019413516202544414,0.017385448304152073
A5,2,1,27,7,0.012933534804054358,0.8283734007752052,0.0075845760865339,0.005348958717520458,300,300,false,0.04417553593724905,0.003828369686271006,0.0012676447223980251,0.005276428102546977,0.010119695571806735
A5,2,2,27,7,0.0122669889889944,0.6282208213328176,0.012849899900592139,-0.000582910911597739,177,147,true,0.008532885766625519,0.004117724729929183,0.01158743628284932,0.012484601557640706,0.024612296607927273
